sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,stdout_log,stderr_log,status,artifacts_created,artifacts_reused,blocker
53,notebooks,python3 -m certgen notebooks check-determinism --json,.,2026-07-20T18:48:22.871866Z,2026-07-20T18:48:22.987529Z,0.115609,0,reports/phase1_command_logs/0053_notebooks.stdout.log,reports/phase1_command_logs/0053_notebooks.stderr.log,PASS,,,
54,implementation_check,rg -n 'def assert_cpu_only' certgen/notebooks/cvpr_runtime.py,.,2026-07-20T18:51:02.449681Z,2026-07-20T18:51:02.453819Z,0.004083,1,reports/phase1_command_logs/0054_implementation_check.stdout.log,reports/phase1_command_logs/0054_implementation_check.stderr.log,FAIL,,,
55,implementation_check,"sed -n 1,160p certgen/notebooks/cvpr_runtime.py",.,2026-07-20T18:51:07.314981Z,2026-07-20T18:51:07.317167Z,0.002132,0,reports/phase1_command_logs/0055_implementation_check.stdout.log,reports/phase1_command_logs/0055_implementation_check.stderr.log,PASS,,,
56,implementation_check,python3 -m compileall -q certgen/phase1 certgen/__main__.py scripts/run_all_available_cpu_stages.py,.,2026-07-20T18:54:00.554231Z,2026-07-20T18:54:00.612575Z,0.058290,0,reports/phase1_command_logs/0056_implementation_check.stdout.log,reports/phase1_command_logs/0056_implementation_check.stderr.log,PASS,,,
57,cpu_orchestrator,python3 scripts/run_all_available_cpu_stages.py --dry-run --explain,.,2026-07-20T18:54:05.805574Z,2026-07-20T18:54:06.041040Z,0.235415,10,reports/phase1_command_logs/0057_cpu_orchestrator.stdout.log,reports/phase1_command_logs/0057_cpu_orchestrator.stderr.log,EXPECTED_BOUNDARY,,,
58,fixture_rehearsal,"python3 -c 'import json; from certgen.phase1.rehearsal import run_phase1_rehearsal; print(json.dumps(run_phase1_rehearsal(), indent=2, sort_keys=True))'",.,2026-07-20T18:54:13.462193Z,2026-07-20T18:54:14.422979Z,0.960735,0,reports/phase1_command_logs/0058_fixture_rehearsal.stdout.log,reports/phase1_command_logs/0058_fixture_rehearsal.stderr.log,PASS,artifacts/cvpr/kaggle_inputs/fixture_only/PHASE1_REHEARSAL.json,,
59,regression,python3 -m pytest -q tests/test_cvpr_architecture.py tests/test_final_runtime_hardening.py tests/test_final_run_ready_closure.py,.,2026-07-20T18:54:26.323141Z,2026-07-20T18:54:31.356891Z,5.033682,0,reports/phase1_command_logs/0059_regression.stdout.log,reports/phase1_command_logs/0059_regression.stderr.log,PASS,,,
60,cli_surface,python3 -m certgen kaggle --help,.,2026-07-20T18:54:38.368209Z,2026-07-20T18:54:38.477738Z,0.109477,0,reports/phase1_command_logs/0060_cli_surface.stdout.log,reports/phase1_command_logs/0060_cli_surface.stderr.log,PASS,,,
61,cli_surface,python3 -m certgen notebooks --help,.,2026-07-20T18:54:38.563368Z,2026-07-20T18:54:38.673201Z,0.109773,0,reports/phase1_command_logs/0061_cli_surface.stdout.log,reports/phase1_command_logs/0061_cli_surface.stderr.log,PASS,,,
62,cli_surface,python3 -m certgen audit --help,.,2026-07-20T18:54:38.759257Z,2026-07-20T18:54:38.870077Z,0.110772,0,reports/phase1_command_logs/0062_cli_surface.stdout.log,reports/phase1_command_logs/0062_cli_surface.stderr.log,PASS,,,
