sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,stdout_log,stderr_log,status,artifacts_created,artifacts_reused,blocker
116,sealed_provenance,python3 -m certgen provenance verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-07-22T04:33:39.753675Z,2026-07-22T04:33:39.884463Z,0.131170,0,reports/final_execution_path_command_logs/0116_sealed_provenance.stdout.log,reports/final_execution_path_command_logs/0116_sealed_provenance.stderr.log,PASS,,,
117,sealed_replay,python3 -m certgen replay verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-07-22T04:33:39.960609Z,2026-07-22T04:33:40.089763Z,0.129360,0,reports/final_execution_path_command_logs/0117_sealed_replay.stdout.log,reports/final_execution_path_command_logs/0117_sealed_replay.stderr.log,PASS,,,
118,sealed_paper_firewall,python3 -m certgen audit paper --json,.,2026-07-22T04:33:40.163077Z,2026-07-22T04:33:40.283035Z,0.120182,0,reports/final_execution_path_command_logs/0118_sealed_paper_firewall.stdout.log,reports/final_execution_path_command_logs/0118_sealed_paper_firewall.stderr.log,PASS,,,
119,sealed_privacy,"python3 -c 'from certgen.release.privacy_scan import scan_privacy; issues=scan_privacy(); print({""passed"":not issues,""issues"":issues,""claim_allowed"":False}); raise SystemExit(bool(issues))'",.,2026-07-22T04:33:40.354444Z,2026-07-22T04:33:40.412461Z,0.058179,0,reports/final_execution_path_command_logs/0119_sealed_privacy.stdout.log,reports/final_execution_path_command_logs/0119_sealed_privacy.stderr.log,PASS,,,
120,sealed_secrets,"python3 -c 'from scripts.generate_execution_reports import secret_scan; findings=secret_scan(); print({""passed"":not findings,""findings"":findings,""claim_allowed"":False}); raise SystemExit(bool(findings))'",.,2026-07-22T04:33:40.485126Z,2026-07-22T04:33:40.641436Z,0.156483,0,reports/final_execution_path_command_logs/0120_sealed_secrets.stdout.log,reports/final_execution_path_command_logs/0120_sealed_secrets.stderr.log,PASS,,,
121,sealed_restricted_large,"python3 -c 'from scripts.generate_execution_reports import large_file_audit; rows,blockers=large_file_audit(); restricted=[r for r in rows if r[""classification""]==""restricted_model_asset"" and r[""tracked""]==""true""]; print({""passed"":not blockers and not restricted,""blockers"":blockers,""restricted"":restricted,""claim_allowed"":False}); raise SystemExit(bool(blockers or restricted))'",.,2026-07-22T04:33:40.713634Z,2026-07-22T04:33:41.117211Z,0.403765,0,reports/final_execution_path_command_logs/0121_sealed_restricted_large.stdout.log,reports/final_execution_path_command_logs/0121_sealed_restricted_large.stderr.log,PASS,,,
122,sealed_release_scan,python3 -m certgen.cli.run_release_safety_scan,.,2026-07-22T04:33:41.190755Z,2026-07-22T04:33:41.286954Z,0.096358,0,reports/final_execution_path_command_logs/0122_sealed_release_scan.stdout.log,reports/final_execution_path_command_logs/0122_sealed_release_scan.stderr.log,PASS,,,
123,sealed_final_pre_run,python3 -m certgen audit final-pre-run --json,.,2026-07-22T04:33:41.361167Z,2026-07-22T04:33:42.447368Z,1.086391,0,reports/final_execution_path_command_logs/0123_sealed_final_pre_run.stdout.log,reports/final_execution_path_command_logs/0123_sealed_final_pre_run.stderr.log,PASS,,,
124,sealed_maximum_ceiling,python3 -m certgen audit maximum-ceiling --json,.,2026-07-22T04:33:42.521322Z,2026-07-22T04:33:43.968499Z,1.447388,0,reports/final_execution_path_command_logs/0124_sealed_maximum_ceiling.stdout.log,reports/final_execution_path_command_logs/0124_sealed_maximum_ceiling.stderr.log,PASS,,,
125,sealed_cpu_execution,python3 -m certgen audit cpu-execution --json,.,2026-07-22T04:33:44.044129Z,2026-07-22T04:33:44.217840Z,0.173957,0,reports/final_execution_path_command_logs/0125_sealed_cpu_execution.stdout.log,reports/final_execution_path_command_logs/0125_sealed_cpu_execution.stderr.log,PASS,,,
