sequence,stage,command,cwd,start_utc,end_utc,duration_seconds,exit_code,stdout_log,stderr_log,status,artifacts_created,artifacts_reused,blocker
33,reporting,"python3 -c 'import json; from certgen.phase1.reporting import generate_phase1_reports; print(json.dumps(generate_phase1_reports(), indent=2, sort_keys=True))'",.,2026-07-21T09:13:52.848612Z,2026-07-21T09:13:52.989463Z,0.140751,0,reports/execution_command_logs/0033_reporting.stdout.log,reports/execution_command_logs/0033_reporting.stderr.log,PASS,CERTGEN_KAGGLE_RUN_LAUNCHBOARD.md;CERTGEN_KAGGLE_T4X2_EXECUTION_HANDBOOK.md;CERTGEN_KAGGLE_INPUT_BUNDLE_CATALOG.md;CERTGEN_KAGGLE_DEPENDENCY_AND_ASSET_GUIDE.md;reports/CERTGEN_PHASE1_CURRENT_STATE.json,,
34,confirmatory_family_regressions,python3 -m pytest -q tests/test_confirmatory_family_contract.py tests/test_cvpr_architecture.py tests/test_final_100_percent_pre_run.py tests/test_post_cache_final_closure.py,.,2026-07-21T09:15:11.276854Z,2026-07-21T09:15:14.236856Z,2.959895,1,reports/execution_command_logs/0034_confirmatory_family_regressions.stdout.log,reports/execution_command_logs/0034_confirmatory_family_regressions.stderr.log,FAIL,,,
35,confirmatory_family_regressions,python3 -m pytest -q tests/test_confirmatory_family_contract.py tests/test_cvpr_architecture.py tests/test_final_100_percent_pre_run.py tests/test_post_cache_final_closure.py,.,2026-07-21T09:15:42.694617Z,2026-07-21T09:15:47.384396Z,4.689647,0,reports/execution_command_logs/0035_confirmatory_family_regressions.stdout.log,reports/execution_command_logs/0035_confirmatory_family_regressions.stderr.log,PASS,,,
36,sanity_protocol_regressions,python3 -m pytest -q tests/test_feature_protocol_checks.py tests/test_cvpr_gates.py tests/test_post_cache_final_closure.py tests/test_confirmatory_family_contract.py tests/test_phase1_closure.py,.,2026-07-21T09:21:24.512400Z,2026-07-21T09:21:25.727632Z,1.215134,1,reports/execution_command_logs/0036_sanity_protocol_regressions.stdout.log,reports/execution_command_logs/0036_sanity_protocol_regressions.stderr.log,FAIL,,,
37,targeted_sanity_contract_tests,python3 -m pytest -q tests/test_feature_protocol_checks.py tests/test_cvpr_gates.py tests/test_post_cache_final_closure.py tests/test_confirmatory_family_contract.py tests/test_phase1_closure.py,.,2026-07-21T09:24:41.171631Z,2026-07-21T09:24:44.451413Z,3.279653,1,reports/execution_command_logs/0037_targeted_sanity_contract_tests.stdout.log,reports/execution_command_logs/0037_targeted_sanity_contract_tests.stderr.log,FAIL,,,
38,targeted_sanity_contract_tests_after_lineage_fix,python3 -m pytest -q tests/test_feature_protocol_checks.py tests/test_cvpr_gates.py tests/test_post_cache_final_closure.py tests/test_confirmatory_family_contract.py tests/test_phase1_closure.py,.,2026-07-21T09:25:01.817470Z,2026-07-21T09:25:04.978464Z,3.160867,0,reports/execution_command_logs/0038_targeted_sanity_contract_tests_after_lineage_fix.stdout.log,reports/execution_command_logs/0038_targeted_sanity_contract_tests_after_lineage_fix.stderr.log,PASS,,,
39,dispatcher_state_alignment_tests,python3 -m pytest -q tests/test_final_100_percent_pre_run.py tests/test_final_run_ready_closure.py tests/test_cvpr_architecture.py tests/test_v9_execution_supercharger.py,.,2026-07-21T09:26:45.588636Z,2026-07-21T09:26:49.635707Z,4.046944,1,reports/execution_command_logs/0039_dispatcher_state_alignment_tests.stdout.log,reports/execution_command_logs/0039_dispatcher_state_alignment_tests.stderr.log,FAIL,,,
40,dispatcher_state_alignment_tests_after_family_fix,python3 -m pytest -q tests/test_final_100_percent_pre_run.py tests/test_final_run_ready_closure.py tests/test_cvpr_architecture.py tests/test_v9_execution_supercharger.py,.,2026-07-21T09:27:01.242254Z,2026-07-21T09:27:04.794198Z,3.551812,1,reports/execution_command_logs/0040_dispatcher_state_alignment_tests_after_family_fix.stdout.log,reports/execution_command_logs/0040_dispatcher_state_alignment_tests_after_family_fix.stderr.log,FAIL,,,
41,full_pytest_after_scientific_repairs,python3 -m pytest -q,.,2026-07-21T09:27:44.198632Z,2026-07-21T09:27:55.449322Z,11.250492,1,reports/execution_command_logs/0041_full_pytest_after_scientific_repairs.stdout.log,reports/execution_command_logs/0041_full_pytest_after_scientific_repairs.stderr.log,FAIL,,,
42,synthetic_runtime_protocol_regression,python3 -m pytest -q tests/test_real_execution_closure.py::test_synthetic_real_contract_uses_all_21_stages,.,2026-07-21T09:28:30.404776Z,2026-07-21T09:28:31.441373Z,1.036482,0,reports/execution_command_logs/0042_synthetic_runtime_protocol_regression.stdout.log,reports/execution_command_logs/0042_synthetic_runtime_protocol_regression.stderr.log,PASS,,,
43,full_pytest_final_source_contract,python3 -m pytest -q,.,2026-07-21T09:28:53.313981Z,2026-07-21T09:29:04.470761Z,11.156622,0,reports/execution_command_logs/0043_full_pytest_final_source_contract.stdout.log,reports/execution_command_logs/0043_full_pytest_final_source_contract.stderr.log,PASS,,,
