scenario,category,stage,mean_difference_norm,covariance_difference_frobenius,feature_norm_mean,feature_norm_std,mmd_difference_estimate,matched_cosine_mean,matched_cosine_std,diagnostic_only,claim_allowed
covariance_perturbation,REPRESENTATION_SPECIFIC_ALTERNATIVE,before_preprocessing,0.36205872893333435,3.0387853450016156,7.9503583908081055,0.6995609402656555,0.00971777166344709,0.0003637860936578363,0.12809519469738007,True,False
covariance_perturbation,REPRESENTATION_SPECIFIC_ALTERNATIVE,after_row_l2,0.045839108526706696,0.046916641504873624,1.0,3.750832888727018e-08,0.009717771611406682,0.00036378647200763226,0.12809519469738007,True,False
symmetric_multimodal_shift,HARD_ALTERNATIVE,before_preprocessing,0.5929244756698608,166.13439235088333,16.44155502319336,0.9429858922958374,-0.04855677267103585,0.0469612255692482,0.5517019629478455,True,False
symmetric_multimodal_shift,HARD_ALTERNATIVE,after_row_l2,0.05564374849200249,0.3758866813717742,1.0,3.926675162801985e-08,-0.04855677263497516,0.046961236745119095,0.5517019629478455,True,False
mode_dropping,HARD_ALTERNATIVE,before_preprocessing,0.3467000722885132,92.86039454132425,7.96074914932251,0.7111948132514954,-0.07604136333223625,-0.0008868539007380605,0.11954690515995026,True,False
mode_dropping,HARD_ALTERNATIVE,after_row_l2,0.03683404251933098,0.5885469469666934,1.0,3.922148650303825e-08,-0.07604136319294573,-0.0008868526783771813,0.11954690515995026,True,False
rare_mode_shift,HARD_ALTERNATIVE,before_preprocessing,0.33698204159736633,31.625546959569544,7.966711521148682,0.7175779342651367,-0.004335763776497263,-0.0001625325676286593,0.12578529119491577,True,False
rare_mode_shift,HARD_ALTERNATIVE,after_row_l2,0.11066131293773651,0.07394100405752577,1.0,3.717533658686989e-08,-0.004335763822436681,-0.00016253137437161058,0.12578529119491577,True,False
anisotropy,REPRESENTATION_SPECIFIC_ALTERNATIVE,before_preprocessing,0.2788117527961731,6.3330593262295,8.275328636169434,0.8572859764099121,0.0007332187747325136,-0.0024865081068128347,0.13393044471740723,True,False
anisotropy,REPRESENTATION_SPECIFIC_ALTERNATIVE,after_row_l2,0.03430981561541557,0.08238199466851215,1.0,3.958215089028272e-08,0.0007332187897054627,-0.0024865088053047657,0.13393044471740723,True,False
heavy_tails,HARD_ALTERNATIVE,before_preprocessing,0.7918644547462463,89.60717853637487,18.39980697631836,13.174094200134277,-0.0027640865175403294,-0.009711460210382938,0.12220300734043121,True,False
heavy_tails,HARD_ALTERNATIVE,after_row_l2,0.04468550160527229,0.04346632296263896,1.0,4.060122194005089e-08,-0.0027640864392531224,-0.009711460210382938,0.12220302224159241,True,False
mixture_alternative,HARD_ALTERNATIVE,before_preprocessing,3.6769118309020996,30.533845072070783,9.899798393249512,3.0436720848083496,-0.027481344010504734,-0.001072395360097289,0.12350093573331833,True,False
mixture_alternative,HARD_ALTERNATIVE,after_row_l2,0.2580219507217407,0.15281429033788646,1.0,3.7650135453759503e-08,-0.027481344236075435,-0.0010723955929279327,0.12350093573331833,True,False
contamination_1pct,HARD_ALTERNATIVE,before_preprocessing,0.3388737142086029,10.04578746259739,8.170321464538574,2.6251635551452637,0.00122110634474433,-0.0015617539174854755,0.12099914252758026,True,False
contamination_1pct,HARD_ALTERNATIVE,after_row_l2,0.04139777645468712,0.04378465435440579,1.0,3.8443840111312966e-08,0.0012211063056141631,-0.001561754266731441,0.12099914997816086,True,False
contamination_2pct,HARD_ALTERNATIVE,before_preprocessing,0.3754267990589142,35.062268675850746,8.669066429138184,4.831637382507324,-0.007355356454146452,-0.0031527625396847725,0.12727965414524078,True,False
contamination_2pct,HARD_ALTERNATIVE,after_row_l2,0.043155960738658905,0.04916454536859271,1.0,3.9627003900477575e-08,-0.0073553563600403625,-0.0031527632381767035,0.12727966904640198,True,False
contamination_5pct,HARD_ALTERNATIVE,before_preprocessing,0.7119885087013245,95.32456485607536,9.897882461547852,7.798614501953125,0.0007756169659543482,0.0032212785445153713,0.12132716178894043,True,False
contamination_5pct,HARD_ALTERNATIVE,after_row_l2,0.053023070096969604,0.07228940971500515,1.0,3.5161686895435196e-08,0.0007756170376557739,0.0032212797086685896,0.12132716178894043,True,False
contamination_10pct,EASY_ALTERNATIVE,before_preprocessing,0.37916502356529236,149.30506814964374,11.05223274230957,9.547283172607422,-0.003925080634119465,0.006054380442947149,0.1260431706905365,True,False
contamination_10pct,EASY_ALTERNATIVE,after_row_l2,0.03889118880033493,0.10085512012272044,1.0,3.8490018283710015e-08,-0.0039250806727128325,0.006054381374269724,0.1260431706905365,True,False
low_rank_manifold_shift,REPRESENTATION_SPECIFIC_ALTERNATIVE,before_preprocessing,0.1461041420698166,2.794103887224383,1.8836957216262817,0.7055725455284119,-0.07685014930653068,-0.000551387551240623,0.020317209884524345,True,False
low_rank_manifold_shift,REPRESENTATION_SPECIFIC_ALTERNATIVE,after_row_l2,0.06544416397809982,0.6983522991843195,1.0,4.582198087632605e-08,-0.07685014994582301,-0.0005513874930329621,0.020317209884524345,True,False
sparse_high_dimensional_shift,HARD_ALTERNATIVE,before_preprocessing,0.8036679625511169,2.8106571805026603,8.006851196289062,0.7296883463859558,-0.007984162931629915,0.005093443673104048,0.13172081112861633,True,False
sparse_high_dimensional_shift,HARD_ALTERNATIVE,after_row_l2,0.09977605938911438,0.04319343493144671,1.0,3.9085378489289724e-08,-0.007984163318934598,0.005093443673104048,0.13172082602977753,True,False
dense_weak_high_dimensional_shift,HARD_ALTERNATIVE,before_preprocessing,0.534147322177887,2.8224629250529105,7.984405040740967,0.700850784778595,0.0009572097916580318,-0.006871950346976519,0.12438051402568817,True,False
dense_weak_high_dimensional_shift,HARD_ALTERNATIVE,after_row_l2,0.06653326749801636,0.043136448825008326,1.0,4.002841436090421e-08,0.0009572098915584317,-0.0068719517439603806,0.12438052147626877,True,False
finite_reference_with_replacement,REFERENCE_DESIGN_STRESS,before_preprocessing,0.5364254713058472,3.993792603143423,7.978755474090576,0.7046278119087219,0.00838308497086135,0.002552932361140847,0.1263229101896286,True,False
finite_reference_with_replacement,REFERENCE_DESIGN_STRESS,after_row_l2,0.06760110706090927,0.06171075507349315,1.0,3.750832888727018e-08,0.008383085270785223,0.0025529328268021345,0.1263229101896286,True,False
declared_reference_reuse,REFERENCE_DESIGN_STRESS,before_preprocessing,0.403785765171051,3.546962105777795,7.957482814788818,0.7509846687316895,0.012554311866136732,-0.004882111679762602,0.12314803898334503,True,False
declared_reference_reuse,REFERENCE_DESIGN_STRESS,after_row_l2,0.051572881639003754,0.054608192874623956,1.0,3.8903163357417725e-08,0.012554311813822952,-0.0048821126110851765,0.12314804643392563,True,False
