sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,status,stdout_log,stderr_log,artifacts_created,artifacts_reused,blocker,claim_allowed
40,aggregate_actual_provenance_rehearsal_final,python3 -m pytest -q tests/icml2027/test_remaining_closure.py,.,2026-08-12T14:49:52.294312Z,2026-08-12T14:49:53.591025Z,1.295949,0,PASS,reports/icml2027/remaining_closure/command_logs/0040_aggregate_actual_provenance_rehearsal_final.stdout.log,reports/icml2027/remaining_closure/command_logs/0040_aggregate_actual_provenance_rehearsal_final.stderr.log,,tests/icml2027/test_remaining_closure.py,,False
41,complete_remaining_closure_focused_tests,python3 -m pytest -q tests/icml2027/test_remaining_closure.py tests/icml2027/test_final_closure.py tests/icml2027/test_notebooks_kaggle_stress.py,.,2026-08-12T14:51:18.258336Z,2026-08-12T14:51:22.121735Z,3.861781,0,PASS,reports/icml2027/remaining_closure/command_logs/0041_complete_remaining_closure_focused_tests.stdout.log,reports/icml2027/remaining_closure/command_logs/0041_complete_remaining_closure_focused_tests.stderr.log,,tests/icml2027/test_remaining_closure.py;registry/icml2027/sharper_boundary_candidates.json,,False
42,final_compileall,python3 -m compileall -q certgen scripts tests,.,2026-08-12T14:59:12.848360Z,2026-08-12T14:59:13.055793Z,0.206550,0,PASS,reports/icml2027/remaining_closure/command_logs/0042_final_compileall.stdout.log,reports/icml2027/remaining_closure/command_logs/0042_final_compileall.stderr.log,,,,False
43,final_import_smoke,"python3 -c 'import certgen; import certgen.icml2027.execution_contract; import certgen.icml2027.feature_provenance; import certgen.icml2027.notebook_runtime; print(""imports-ok"")'",.,2026-08-12T14:59:13.234331Z,2026-08-12T14:59:13.448668Z,0.213334,0,PASS,reports/icml2027/remaining_closure/command_logs/0043_final_import_smoke.stdout.log,reports/icml2027/remaining_closure/command_logs/0043_final_import_smoke.stderr.log,,,,False
44,final_marker_inclusive_pytest,python3 -m pytest -q -m '',.,2026-08-12T14:59:13.633817Z,2026-08-12T15:02:29.086709Z,195.449771,0,PASS,reports/icml2027/remaining_closure/command_logs/0044_final_marker_inclusive_pytest.stdout.log,reports/icml2027/remaining_closure/command_logs/0044_final_marker_inclusive_pytest.stderr.log,,tests/*,,False
45,final_historical_wrappers,python3 -m pytest -q -o addopts= tests/test_v2_audit.py::test_v2_audit_runs_and_writes_outputs tests/test_v3_docs_and_audit.py::test_v3_final_audit_runs tests/test_v4_audit.py::test_v4_final_audit_runs tests/test_v5_audit.py::test_v5_final_audit_runs,.,2026-08-12T15:02:36.381943Z,2026-08-12T15:05:23.340568Z,166.954810,0,PASS,reports/icml2027/remaining_closure/command_logs/0045_final_historical_wrappers.stdout.log,reports/icml2027/remaining_closure/command_logs/0045_final_historical_wrappers.stderr.log,,tests/test_v2_audit.py;tests/test_v3_docs_and_audit.py;tests/test_v4_audit.py;tests/test_v5_audit.py,,False
46,final_icml_focused_suites,python3 -m pytest -q -o addopts= tests/icml2027 tests/test_final_execution_path_seal.py tests/test_universal_kaggle_discovery.py,.,2026-08-12T15:05:28.319117Z,2026-08-12T15:05:47.248576Z,18.927547,0,PASS,reports/icml2027/remaining_closure/command_logs/0046_final_icml_focused_suites.stdout.log,reports/icml2027/remaining_closure/command_logs/0046_final_icml_focused_suites.stderr.log,,tests/icml2027/*;tests/test_final_execution_path_seal.py;tests/test_universal_kaggle_discovery.py,,False
47,final_notebook_regeneration,python3 -m certgen icml2027 notebooks generate --root notebooks/kaggle/icml2027,.,2026-08-12T15:05:56.499902Z,2026-08-12T15:05:56.773763Z,0.272854,0,PASS,reports/icml2027/remaining_closure/command_logs/0047_final_notebook_regeneration.stdout.log,reports/icml2027/remaining_closure/command_logs/0047_final_notebook_regeneration.stderr.log,notebooks/kaggle/icml2027/*.ipynb,,,False
48,final_notebook_determinism,python3 -m certgen icml2027 notebooks check-determinism --root notebooks/kaggle/icml2027,.,2026-08-12T15:05:56.939424Z,2026-08-12T15:05:57.189944Z,0.249698,0,PASS,reports/icml2027/remaining_closure/command_logs/0048_final_notebook_determinism.stdout.log,reports/icml2027/remaining_closure/command_logs/0048_final_notebook_determinism.stderr.log,,,,False
49,final_diagnostic_bundle,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip --json,.,2026-08-12T15:05:57.347787Z,2026-08-12T15:05:57.664954Z,0.316298,0,PASS,reports/icml2027/remaining_closure/command_logs/0049_final_diagnostic_bundle.stdout.log,reports/icml2027/remaining_closure/command_logs/0049_final_diagnostic_bundle.stderr.log,,,,False
50,final_preflight_bundle,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip --json,.,2026-08-12T15:05:57.815391Z,2026-08-12T15:05:58.146139Z,0.329930,0,PASS,reports/icml2027/remaining_closure/command_logs/0050_final_preflight_bundle.stdout.log,reports/icml2027/remaining_closure/command_logs/0050_final_preflight_bundle.stderr.log,,,,False
