scenario,model_count,replicate_id,number_of_comparisons,resolved_edges,unresolved_edges,incorrect_edges,graph_density,transitive_reduction_edges,transitive_reduction_correct,cycles,connected_components,FWER_event,samples_consumed,sample_cost_units,cost_per_certified_edge,CPU_seconds,memory_peak_platform_units,pairwise_matrix_materialized,synthetic_validation_only,not_real_generator_evidence,not_empirical_paper_evidence,claim_allowed
representation_conflicts,20,1,190,0,190,0,0.0,0,True,0,20,False,24320,24320.0,24320.0,0.002545583003666252,46252032,False,True,True,True,False
representation_conflicts,50,0,1225,0,1225,0,0.0,0,True,0,50,False,156800,156800.0,156800.0,0.016083249996881932,46252032,False,True,True,True,False
representation_conflicts,50,1,1225,0,1225,0,0.0,0,True,0,50,False,156800,156800.0,156800.0,0.015708541992353275,46252032,False,True,True,True,False
representation_conflicts,100,0,4950,16,4934,0,0.0032323232323232323,16,True,0,87,False,633568,633568.0,39598.0,0.06355912500293925,46252032,False,True,True,True,False
representation_conflicts,100,1,4950,14,4936,0,0.0028282828282828283,14,True,0,87,False,633584,633584.0,45256.0,0.06316979101393372,46252032,False,True,True,True,False
partial_incomparability,2,0,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,4.762501339428127e-05,46252032,False,True,True,True,False
partial_incomparability,2,1,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,3.7416990380734205e-05,46252032,False,True,True,True,False
partial_incomparability,5,0,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.00016545801190659404,46252032,False,True,True,True,False
partial_incomparability,5,1,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.00015841698041185737,46252032,False,True,True,True,False
partial_incomparability,10,0,45,0,45,0,0.0,0,True,0,10,False,5760,5760.0,5760.0,0.0006235830078367144,46252032,False,True,True,True,False
partial_incomparability,10,1,45,0,45,0,0.0,0,True,0,10,False,5760,5760.0,5760.0,0.0006179579941090196,46252032,False,True,True,True,False
partial_incomparability,20,0,190,0,190,0,0.0,0,True,0,20,False,24320,24320.0,24320.0,0.0024939159920904785,46252032,False,True,True,True,False
partial_incomparability,20,1,190,0,190,0,0.0,0,True,0,20,False,24320,24320.0,24320.0,0.0024962910101749003,46252032,False,True,True,True,False
partial_incomparability,50,0,1225,16,1209,0,0.013061224489795919,16,True,0,40,False,156784,156784.0,9799.0,0.015773167018778622,46252032,False,True,True,True,False
partial_incomparability,50,1,1225,20,1205,0,0.0163265306122449,20,True,0,39,False,156752,156752.0,7837.6,0.015728333994047716,46252032,False,True,True,True,False
partial_incomparability,100,0,4950,1460,3490,0,0.29494949494949496,1414,True,0,1,False,580960,580960.0,397.9178082191781,0.06973562500206754,46252032,False,True,True,True,False
partial_incomparability,100,1,4950,1449,3501,0,0.2927272727272727,1412,True,0,1,False,580912,580912.0,400.9054520358868,0.07085187500342727,46284800,False,True,True,True,False
adversarial_local_cycles,2,0,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,9.258298086933792e-05,46284800,False,True,True,True,False
adversarial_local_cycles,2,1,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,4.2208004742860794e-05,46284800,False,True,True,True,False
adversarial_local_cycles,5,0,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.0001696250110398978,46284800,False,True,True,True,False
